City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
乌兰察布,87,24,42,0.35,15,138,143,15
乌鲁木齐,39,10,17,0.63,16,82,77,5
武威,96,30,82,0.6,27,136,153,4
无锡,57,35,61,0.99,45,60,73,11
吴忠,56,18,42,0.4,20,89,105,8
梧州,43,28,42,1.1,17,44,62,6
厦门,25,17,20,0.38,26,35,42,7
西安,78,21,68,0.93,42,112,132,8
湘潭,51,25,50,0.7,20,100,99,8
湘西州,53,28,54,1.1,18,54,99,9
襄阳,85,47,90,0.83,46,97,140,8
咸宁,59,20,42,0.78,29,91,109,1
咸阳,72,19,71,0.78,38,114,125,8
孝感,80,16,22,0.75,4,124,134,6
锡林郭勒盟,59,9,37,0.55,16,94,109,10
兴安盟,55,20,51,0.47,11,96,104,5
邢台,116,32,87,0.43,31,144,176,16
西宁,76,35,78,0.7,25,118,130,11
新乡,91,26,71,1.15,50,94,147,9
信阳,91,32,59,0.53,16,130,148,5
新余,32,22,27,0.94,21,65,63,6
忻州,102,50,141,0.97,31,165,161,19
西双版纳州,77,37,81,0.75,31,103,131,8
宣城,43,30,35,0.5,18,71,73,9
许昌,91,29,101,0.93,41,117,148,7
徐州,93,69,105,1.06,54,91,145,14
雅安,62,39,72,0.7,39,87,109,16
延安,88,25,61,0.95,21,120,144,9
延边州,53,22,31,0.5,18,83,102,6
盐城,76,37,57,0.68,28,107,129,12
阳江,37,16,36,0.77,10,59,60,8
阳泉,132,58,141,1.08,27,189,194,29
扬州,53,30,49,0.65,41,79,102,11
烟台,104,42,150,0.78,56,116,163,14
宜宾,106,32,67,0.7,30,160,165,16
宜昌,69,25,61,0.78,40,93,121,11
宜春,46,32,44,1.08,18,61,68,12
伊春,41,15,35,0.3,11,59,81,3
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,51,13,21,0.47,9,103,100,9
银川,84,16,75,0.61,29,120,139,21
营口,65,17,61,0.33,19,92,116,4
鹰潭,40,9,15,0.52,13,88,78,8
义乌,18,10,13,0.6,25,44,35,3
宜兴,55,38,56,0.95,28,68,78,11
益阳,66,20,41,1.02,16,109,118,3
永州,53,32,54,0.9,21,74,89,7
岳阳,67,22,30,0.7,24,104,119,12
玉林,49,34,47,0.8,14,90,95,13
榆林,100,38,103,0.9,23,141,158,9
运城,91,42,78,0.78,21,129,148,8
云浮,36,12,22,0.57,16,58,71,10
玉树州,79,10,34,0.7,5,119,133,6
玉溪,59,17,55,0.57,15,100,109,8
枣庄,98,47,108,0.66,35,121,156,14
张家港,44,18,43,0.55,26,88,81,7
张家界,66,22,45,0.85,10,82,118,7
张家口,150,67,248,1.24,26,206,181,15
章丘,155,77,193,1.2,39,166,219,35
张掖,86,27,68,0.55,18,120,142,2
漳州,20,11,19,0.67,19,43,28,4
湛江,50,15,37,0.63,21,74,98,9
肇庆,36,17,0,0.55,23,53,71,6
昭通,75,7,63,0.5,19,103,128,11
招远,104,55,156,1.35,31,101,116,17
郑州,99,32,101,0.66,39,126,157,10
镇江,56,32,39,0.45,22,98,105,2
中山,28,11,16,0.43,2,43,55,5
中卫,89,17,76,0.5,16,135,145,21
周口,96,23,89,0.75,23,119,154,9
舟山,42,10,24,0.77,10,94,82,5
珠海,25,14,24,0.43,13,42,48,2
诸暨,0,0,0,0.0,0,0,0,0
驻马店,91,31,48,0.57,24,123,147,12
株洲,46,21,45,0.69,25,74,83,10
淄博,152,63,163,1.83,41,150,216,27
自贡,106,40,77,0.53,24,152,165,11
资阳,99,27,74,0.4,25,128,157,7
遵义,82,23,55,0.55,25,117,137,8
